Shopify Product Handle,Review Creation Date,Review Content,Review Score,Review Title,Reviewer Display Name,Reviewer Email,Publish Review
ashwagandha-root,2022-08-15,I’ve tried ginkgo biloba before without any results. The lions mane formula with ginkgo is amazing. The brain fog has disappeared and I have more clarity in my brain for remembering things than I had before. I will keep this supplement in my subscribe and save. I recommend this product for anyone whose memory is either fading or anyone who has brain fog.,5,No more brain fog!,Robin M,example@example.com,TRUE
ashwagandha-root,2022-08-12,I wasn't sure if this was going to work but someone recommended it to me and I had to try it. By the time I took the first capsule I felt it calm my gut. This might also lessen diarrhea because somehow when I take it I don't get diarrhea the next morning. Don't know if that's coincidence or not.Aside from that this improves my thinking and has all natural ingredients. Just the mushroom and vegan capsule.,4,Healthy herbal supplement that might work for gut disorders too,Amazon Customer,example@example.com,TRUE
ashwagandha-root,2022-08-01,I’m not sure if they are working for headaches but I feel really good taking them.  I drink it in the morning on empty stomach,5,Tension headaches,Amazon Customer,example@example.com,TRUE
ashwagandha-root,2022-05-23,After about 21days it seems as though Im more alert to remembering the small stuff. Will keep it going and purchase again,4,Seems to work,CF,example@example.com,TRUE
ashwagandha-root,2022-06-19,I take this to help with ADHD. It seems to help me focus throughout the day.,5,Helps me focus,Nosoupforyou,example@example.com,TRUE
ashwagandha-root,2022-05-26,I have been taking this product for two weeks.  And I can testify that it definitely works.  You will not be disappointed.,5,So Far So Good,Kenrick,example@example.com,TRUE
ashwagandha-root,2022-04-20,I just purchased my second bottle the other day. This product is the real deal and really helps with focus and memory. I also noticed that this seems to help a bit with inflammation and digestion as well. I plan on using these mushrooms for as long as I can. It’s also great mixed in my morning coffee!I will add an update as time goes along.,5,This actually works!,J_Jams,example@example.com,TRUE
ashwagandha-root,2022-02-09,Our 12 year old Rhodesian Ridgeback has GOLPP. We started feeding him 1/2 pill with breakfast and are convince it has helped to not only slow the weakening of his nerves but to actually repair some nerve damage. His rear legs are gaining some strength back and he is not chocking as much as he used to. We read that lion's mane can heal nerve damage and we are now convinced that it does.,5,Good for dogs.,Mid-coast Marc,example@example.com,TRUE
ashwagandha-root,2022-04-20,Great stuff! Wish it had more units per bottle but still worth a try.,5,A must try!,Hector J Rodriguez,example@example.com,TRUE
ashwagandha-root,2021-07-20,Started taking this 3 weeks ago.  I have tried alot of supplements and these are easy to swallow - the capsules aren't like a horse pill and there is no "bad taste".  My daughter wanted to try them with me but she doesn't like mushrooms.  Neither of could taste mushrooms nor did it have any "earthy" flavor that some people are concerned about.  I have a bit of anxiety and I was looking for something to give me more focus and stronger mental performance.  So far so good!,4,Impressed by it's claims,Kindle Customer,example@example.com,TRUE
ashwagandha-root,2022-03-08,Need more time will be ordering again using again using it for help with memory,5,I need to give it more time..will be ordering again,gayle,example@example.com,TRUE
ashwagandha-root,2022-02-16,Love the quality and how I felt after taking it for a month.  I continue to use it everyday.,5,Great quality,Tim Gilbert,example@example.com,TRUE
