Shopify Product Handle,Review Creation Date,Review Content,Review Score,Review Title,Reviewer Display Name,Reviewer Email,Publish Review
ashwagandha-root,2022-08-12,I wasn't sure if this was going to work but someone recommended it to me and I had to try it. By the time I took the first capsule I felt it calm my gut. This might also lessen diarrhea because somehow when I take it I don't get diarrhea the next morning. Don't know if that's coincidence or not.Aside from that this improves my thinking and has all natural ingredients. Just the mushroom and vegan capsule.,4,Healthy herbal supplement that might work for gut disorders too,Amazon Customer,example@example.com,TRUE
ashwagandha-root,2022-08-01,I’m not sure if they are working for headaches but I feel really good taking them.  I drink it in the morning on empty stomach,5,Tension headaches,Amazon Customer,example@example.com,TRUE
ashwagandha-root,2022-06-19,I take this to help with ADHD. It seems to help me focus throughout the day.,5,Helps me focus,Nosoupforyou,example@example.com,TRUE
ashwagandha-root,2022-05-26,I have been taking this product for two weeks.  And I can testify that it definitely works.  You will not be disappointed.,5,So Far So Good,Kenrick,example@example.com,TRUE
ashwagandha-root,2022-02-09,Our 12 year old Rhodesian Ridgeback has GOLPP. We started feeding him 1/2 pill with breakfast and are convince it has helped to not only slow the weakening of his nerves but to actually repair some nerve damage. His rear legs are gaining some strength back and he is not chocking as much as he used to. We read that lion's mane can heal nerve damage and we are now convinced that it does.,5,Good for dogs.,Mid-coast Marc,example@example.com,TRUE
ashwagandha-root,2021-07-20,Started taking this 3 weeks ago.  I have tried alot of supplements and these are easy to swallow - the capsules aren't like a horse pill and there is no "bad taste".  My daughter wanted to try them with me but she doesn't like mushrooms.  Neither of could taste mushrooms nor did it have any "earthy" flavor that some people are concerned about.  I have a bit of anxiety and I was looking for something to give me more focus and stronger mental performance.  So far so good!,4,Impressed by it's claims,Kindle Customer,example@example.com,TRUE
ashwagandha-root,2022-02-16,Love the quality and how I felt after taking it for a month.  I continue to use it everyday.,5,Great quality,Tim Gilbert,example@example.com,TRUE
ashwagandha-root,2021-06-16,Recently introduced to the benefits of Lion's Mane Mushroom for brain and nerve support.  Really appreciate that this product is Non-GMO and made with organic mushrooms.  It is a bonus that the supplements are also gluten and grain free.  What makes this a no-brainer (no pun intended) for me is that Gaia screens their products and using a unique code on your product allows the purchaser to review the results of testing for microbes heavy metals pesticides and more.  You can also view the manufacturing date so you know when your product was created and when it will expire.  Love that this company shares this important information!  Earns my trust!,5,Excited about the difference this supplement can make,HK1,example@example.com,TRUE
ashwagandha-root,2022-02-07,I feel like this is helping me feel more alert and has reduced anxiety symptoms. No side effects.,5,Great product,JT,example@example.com,TRUE
ashwagandha-root,2021-07-07,It was easy to swallow. I didn't notice any flavor.  I don't notice a huge difference but I am going to try it for longer and see how it works over time.,4,It is what it is.,Angie Pulvermacher,example@example.com,TRUE
