ASIN,HANDLE
B08Z9NHD2L,ashwagandha-root
"B00F1J8HOQ
B0036THMYE",oil-of-oregano 
"B0055TIC1K
B0036THLXQ",reflux-relief  
B00O0WGB7K,rhodiola-rosea 
"B005ACNNLG
B0036THNNE",milk-thistle-seed 
B00BSU2HFW,liver-cleanse 
"B005ACNNJS
B0036THMX0",olive-leaf
B01M757ALK,turmeric-supreme-joint 
B00F1J7OEU,nettle-leaf
B00F1J6X9C,bronchial-wellness-syrup
"B07YLKKSGX
B003VT3YP0",vitex-berry 
B01DA54ESK,adrenal-health-nightly-restore 
B07H2QFMNR,calm-asap 
B07YLKRTFZ,astragalus-supreme 
B01DA54DLS,adrenal-health-jump-start 
B004PNQWOQ,prostate-health 
B01MPXTLSH,golden-milk
B07YLL2YHX,hawthorn-supreme 
B07CRMSSJ5,emotional-balance 
"B07YLLF8LY
B0036THLRW",quick-defense 
B0036THLDG,healthy-vision 
B07PBXTQW5,agile-mind 
B08JRG6XG7,mighty-lungs 
B0036THM8A,hair-skin-nail-support 
B07PD84Q5J,bacopa
B0036THMA8,green-tea
"B07YLKCL58
B005I7HJU4",sleepthru 
B07P9S5QMR,nootropic-focus 
B01KCG0RQS,liver-cleanse-herbal-tea
B000Q1J4Y6,echinacea-goldenseal-supreme
B004HR93DC,gaiakids-bronchial-wellness-syrup
B00028PX3O,gaiakids-calm-support
B084H3KNGM,turmeric-boost-restore
B07RNS4XJV,everyday-adaptogen
B085V5TLXW,microbiome-cleanse
B0036THMJE,cinnamon-bark
B08NYHVHZ6,black-seed-oil
B01KCG0WVS,organic-hibiscus-herbal-tea
B0036THNIE,sage-aloe-throat-spray
B085V5PPP5,gi-feel-good
B085V61YCZ,microbiome-food
B08NYKFT1N,sinus-comfort
B00028PM5S,california-poppy
B089LMBVPL,black-elderberry-adult-daily-gummies  
"B08C3RRFMQ
B089LCQXZB",black-elderberry-extra-strength-gummies  
"B08WJK4FTV
B08WJLQRXZ",black-elderberry-syrup-adult-daily
B006P8NAHQ,turmeric-supreme-extra-strength
B0036THML2,adrenal-health-daily-support
B08Z9NHD2L,lions-mane-mushroom
B08JRG6XG7,mighty-lungs 
B0036THNM0,male-libido
B00EFXU54Y,plant-force-liquid-iron
B003HDK0VG,maca-root
B0036THNNY,thyroid-support
B0036THM7Q,womens-balance
B005DROYSO,stress-response
B005TSTBYE,sleep-relax-herbal-tea
B08ZBNDL8X,turkey-tail-mushroom
B00F1J80QQ,womens-libido
B0036THLFE,resveratrol-150
B08XNDC42H,turmeric-supreme-extra-strength-gummies
B0053WLLNA,gas-bloating-herbal-tea
B09J1ZT2BR,ashwagandha-gummies
B0036THN4I,mental-alertness
B0036THLVI,holy-basil-leaf
B0036THLZY,black-elderberry
B08Z9L3D3R,immune-mushroom-blend
B0036THN52,ginkgo-leaf
B0B3BMC26C,bronchial-wellness-herbal-tea
B0036THMAS,glycemic-health
B08ZB4YXK3,reishi-mushroom
B09J21R4CP,sleep-gummies
B0036THMQM,cranberry-concentrate
B0036THN7A,saw-palmetto
B0036THM3K,valerian-root
B0036THN8E,kava-root
B07WJ1W34B,nighttime-comfort
B0036THNCA,black-cohosh
B00IRZT6UU,turmeric-supreme-sinus-support
B0062V8ZVW,triphala-fruit
B006H7Y6M8,echinacea-goldenseal-propolis-throat-spray
B0036THNMU,liver-health
B01FGGK0TI,cleanse-detox-herbal-tea
B0036THNRA,sound-sleep
B00IRZT9L6,turmeric-supreme-pain
B000P98WR4,ginseng-supreme
B08ZB6HJX6,respiratory-mushroom-blend
B08ZB1L64M,cordyceps-mushroom
B00BZAIB6Y,maca-powder
B0036THNL6,energy-vitality
B00IRZT5TW,turmeric-supreme-heart
B0080S9CGW,oregano-leaf-certified-organic
B001WBJAQQ,natural-laxative
B08ZPVJJF7,turmeric-supreme®-adult-daily-gummies
B08C3STY7K,gaiakids-black-elderberry-kids-daily-gummies
B000P482OM,lemon-balm-certified-organic
B09J21RG93,relax-gummies
B0036THM9E,gas-bloating
B004P9W7E4,sleep-relax
B00F1J6WVG,black-elderberry-nighttime-syrup
B00016QZWA,wormwood-black-walnut-supreme
B06XPH5C4T,mushrooms-herbs-everyday-immune
B0036THMWG,echinacea-supreme
B000PLZKPO,milk-thistle-seed-certified-organic
B0036THN98,kava-root-extra-strength
B000P4C716,gotu-kola-leaf-certified-organic
B06XPH2YHZ,adaptogen-performance-mushrooms-herbs
B000OP24B4,ginger-root-certified-organic
B06XPFKXQD,mental-clarity-mushrooms-herbs
B0036THNB6,black-cohosh-root
B000VUWV9C,usnea-uva-ursi-supreme
B0036THLR2,ginger-supreme
B07RJ1X68R,mind-spring
B0036THMVW,echinacea-goldenseal
B096D8XRYG,black-elderberry-tonic
B000VUWVAQ,valerian-poppy-supreme
B0036THNUC,eleuthero-root
B00028PM3K,burdock-root-certified-organic
B003SO2M7E,green-tea-certified-organic
B0036THNJ8,whole-body-defense
B000PM1L8I,nettle-leaf-certified-organic
B005HNX2WS,gaiakids-black-elderberry-syrup#
B00028PRYO,skullcap-certified-organic
B07WFX42XR,fertility-support
B003M1NDZS,licorice-root
B007S6Y9BU,lactation-support-herbal-tea
B000CGJSFK,holy-basil-leaf-certified-organic
B0001TI27S,propolis-extract
B0036THN2A,fenugreek-seed
B00028PWTO,gaiakids-echinacea-goldenseal
B000PM1LAG,olive-leaf-certified-organic
B000VUUVBM,gaiakids-tummy-tonic
B06XP9DJJ1,whole-body-support-mushrooms-herbs
B07RMBWQMW,immune-shine
B0036THM2G,peppermint-leaf-certified-organic
B000Z94T4O,gaiakids-sinus-support
B0036THLJK,lactation-support
B000BCYQLG,cinnamon-bark-certified-organic
B00NNR7GWW,maca-boost-cacao-ginger
B0001THXTG,milk-thistle-seed-low-alcohol
B0036THL90,sweetish-bitters
B00UDJASY6,turmeric-supreme-immune-support
B00F43LMGE,sage-and-aloe-herbal-throat-lozenges
B0036THLGS,red-clover-supreme
B006H9S7LC,marshmallow-root-certified-organic
B00028PWSK,gaiakids-kidsdefense
B0036THMGW,gaiakids-echinacea-supreme
B000F4WHJI,gaiakids-focus
B005CT1F44,fresh-breath
B00016R0GA,echinacea-red-root-supreme
